onset	trial_type	duration
8.05	LeftHandCueProcedure	2.959
11.009	LeftHand	12.155
23.164	RightFoottCuePROC	2.972
26.136	RightFoot	12.155
38.291	FixPROC	15.007
53.298	TongueCuePROC	2.959
56.257	Tongue	12.155
68.412	LeftFootCuePROC	2.97199999999999
71.384	LeftFoot	12.155
83.539	RightHandCuePROC	2.973
86.512	RightHand	12.155
98.667	FixPROC	14.994
113.661	LeftHandCueProcedure	2.97199999999999
116.633	LeftHand	12.155
128.788	TongueCuePROC	2.97199999999998
131.76	Tongue	12.155
143.915	RightFoottCuePROC	2.97200000000001
146.887	RightFoot	12.155
159.042	RightHandCuePROC	2.97200000000001
162.014	RightHand	12.155
174.169	LeftFootCuePROC	2.97199999999998
177.141	LeftFoot	12.156
189.297	FixPROC	0
